link,topics
http://www.nytimes.com/services/xml/rss/nyt/MediaandAdvertising.xml,media
http://www.niemanlab.org/feed/,media
http://www.buzzmachine.com/feed/,media
http://www.theguardian.com/media/rss,media
http://www.poynter.org/feed/,media
http://www.cjr.org/index.xml,media
https://digiday.com/category/media/feed/,media
http://www.pressgazette.co.uk/rssfeed.xml,media
http://feeds.mediapost.com/mediadailynews,media
http://www.nscreenmedia.com/feed/,media
http://www.talkingbiznews.com/?feed=rss2,media
http://www.observer.com/media/rss,media
https://www.gamespot.com/feeds/mashup/,gaming
http://www.nintendolife.com/feeds/latest,gaming
http://www.joystiq.com/rss.xml,gaming
http://www.indiegames.com/atom.xml,gaming
http://feeds.arstechnica.com/arstechnica/gaming/,gaming
https://www.polygon.com/rss/index.xml,gaming
http://toucharcade.com/feed/,gaming
http://www.vg247.com/feed/,gaming
https://mynintendonews.com/feed,gaming
https://www.rockpapershotgun.com/feed,gaming
https://www.pcgamesn.com/rss,gaming
http://feeds.videogamer.com/rss/allupdates.xml,gaming
http://www.pushsquare.com/feeds/latest,gaming
http://rss.cnn.com/rss/cnn_allpolitics.rss,politics
http://feeds.reuters.com/Reuters/PoliticsNews,politics
http://rssfeeds.usatoday.com/TP-OnPolitics,politics
http://www.washingtonexaminer.com/rss/politics,politics
http://online.wsj.com/xml/rss/3_7087.xml,politics
https://www.thenation.com/feed/?post_type,politics
http://dailysignal.com//feed/,politics
http://www.msnbc.com/feeds/latest,politics
https://www.politico.com/rss/politics.xml,politics
https://www.realwire.com/rss/feeds.asp?cat,politics
http://feeds.feedburner.com/AtlanticBusinessChannel,business
feeds.feedburner.com/entrepreneur/latest,business
http://feeds.harvardbusiness.org/harvardbusiness/,business
http://freakonomics.com//feed/,business
http://feeds.feedburner.com/TheBigPicture,business
http://feeds.feedburner.com/venturebeat/SZYF,business
http://fortune.com/feed/,business
http://www.economist.com/rss/the_world_this_week_rss.xml,business
http://www.thenonprofittimes.com/feed/,business
http://www.sbnonline.com/feed/,business
https://www.mckinsey.com/insights/rss.aspx,business
https://homebusinessmag.com/feed/,business
http://feeds2.feedburner.com/businessinsider,business
http://feeds.feedburner.com/CalculatedRisk,business
https://www.huffingtonpost.com/section/business/feed,business
http://feeds.feedburner.com/Techcrunch,technology
http://feeds.wired.com/wired/index,technology
http://feeds.nytimes.com/nyt/rss/Technology,technology
http://rss.macworld.com/macworld/feeds/main,technology
http://feeds.pcworld.com/pcworld/latestnews,technology
http://www.techworld.com/news/rss,technology
https://lifehacker.com/rss,technology
http://feeds.feedburner.com/readwriteweb,technology
http://www.engadget.com/rss-full.xml,technology
http://readwrite.com/feed/,technology
http://feeds.mashable.com/Mashable,technology
http://feeds.feedburner.com/oreilly/radar/atom,technology
https://gizmodo.com/rss,technology
https://www.technologyreview.com/topnews.rss,technology
https://venturebeat.com/2013/09/05/venturebeat-rss/,technology
http://www.recode.net/rss/index.xml,technology
http://www.computerworld.com/index.rss,technology
http://feeds.feedburner.com/Makeuseof,technology
http://www.cnet.com/rss/news,technology
http://feeds.howtogeek.com/HowToGeek,technology
https://venturebeat.com/category/ai/feed/,machine_learning
https://techcrunch.com/artificial-intelligence-2/feed/,machine_learning
http://feeds.feedburner.com/MachineLearningMastery,machine_learning
http://news.mit.edu/rss/topic/artificial-intelligence2,machine_learning
http://web.mit.edu/newsoffice/topic/mitcomputers-rss.xml,machine_learning
http://topics.nytimes.com/top/reference/timestopics/subjects/a/artificial_intelligence/?rss=1,machine_learning
http://www.sciencedaily.com/rss/computers_math/artificial_intelligence.xml,machine_learning
http://bair.berkeley.edu/blog/feed.xml,machine_learning
http://jmlr.csail.mit.edu/jmlr.xml,machine_learning
http://www.esa.int/rss/TopNews.xml,space
http://www.nasaspaceflight.com/feed/,space
http://spaceflightinsider.com/feed/,space
http://spacenews.com/feed/,space
http://www.planetary.org/rss/blog.xml,space
