link,topics
https://www.nytimes.com/svc/collections/v1/publish/https://www.nytimes.com/section/politics/rss.xml,US Politics
https://slate.com/feeds/news-and-politics.rss,US Politics
https://www.theatlantic.com/feed/channel/politics/,US Politics
https://www.vox.com/rss/index.xml,US Politics
https://feeder-prod.ops.politico.com/feeds/rss/politicopicks.xml,US Politics
https://www.theguardian.com/politics/rss,UK Politics
https://www.wired.com/feed/rss,Technology
https://www.theverge.com/rss/index.xml,Technology
https://techcrunch.com/feed/,Technology
http://feeds.arstechnica.com/arstechnica/index/,Technology
https://gizmodo.com/rss,Technology
https://feeds2.feedburner.com/thenextweb,Technology
https://www.techmeme.com/feed.xml,Technology
http://www.engadget.com/rss.xml,Technology
https://www.androidauthority.com/feed,Technology
https://www.cnet.com/rss/all/,Technology
https://www.techradar.com/rss,Technology
https://www.zdnet.com/news/rss.xml,Technology
http://feeds.feedburner.com/venturebeat/SZYF,Technology
https://appleinsider.com/appleinsider.rss,Technology
https://www.windowscentral.com/rss.xml,Technology
https://www.nytimes.com/svc/collections/v1/publish/https://www.nytimes.com/section/technology/rss.xml,Technology
https://www.theguardian.com/uk/technology/rss,Technology
https://slate.com/feeds/technology.rss,Technology
https://www.theatlantic.com/feed/channel/technology/,Technology
https://deadspin.com/rss,Sports
https://www.nytimes.com/svc/collections/v1/publish/https://www.nytimes.com/section/sports/rss.xml,Sports
https://www.theguardian.com/uk/sport/rss,Sports
https://www.space.com/feeds/all,Space
https://www.nasaspaceflight.com/feed/,Space
https://www.popsci.com/feed,Science
http://rss.sciam.com/ScientificAmerican-Global,Science
https://scitechdaily.com/feed/,Science
https://www.livescience.com/rss.xml,Science
https://www.chemistryworld.com/409.rss,Science
https://futurism.com/feed,Science
https://psmag.com/.rss/excerpt/,Science
https://www.quantamagazine.org/feed,Science
https://nautil.us/rss/all,Science
https://www.nytimes.com/svc/collections/v1/publish/https://www.nytimes.com/section/science/rss.xml,Science
https://www.theguardian.com/science/rss,Science
https://www.theatlantic.com/feed/channel/science/,Science
https://slate.com/feeds/human-interest.rss,People
https://lifehacker.com/rss,Lifestyle
https://www.theguardian.com/uk/lifeandstyle/rss,Lifestyle
https://www.nytimes.com/svc/collections/v1/publish/https://www.nytimes.com/section/world/rss.xml,International
https://www.theguardian.com/world/rss,International
https://www.theatlantic.com/feed/channel/international/,International
https://www.nytimes.com/svc/collections/v1/publish/https://www.nytimes.com/section/health/rss.xml,Health
https://www.theatlantic.com/feed/channel/health/,Health
https://www.axios.com/feeds/feed.rss,General
https://kotaku.com/rss,Gaming
https://www.polygon.com/rss/index.xml,Gaming
https://www.eurogamer.net/?format=rss,Gaming
https://mynintendonews.com/feed/,Gaming
https://www.rockpapershotgun.com/feed,Gaming
https://www.usgamer.net/rss,Gaming
https://www.destructoid.com/?mode=atom,Gaming
https://dotesports.com/feed,Gaming
https://grist.org/feed,Environment
https://feeds.feedburner.com/realclimate/HYVV,Environment
https://blogs.ei.columbia.edu/feed/,Environment
https://theecologist.org/rss,Environment
https://e360.yale.edu/feed.xml,Environment
https://www.nytimes.com/svc/collections/v1/publish/https://www.nytimes.com/section/climate/rss.xml,Environment
https://www.theguardian.com/uk/environment/rss,Environment
https://www.avclub.com/rss,Culture
https://www.nytimes.com/svc/collections/v1/publish/https://www.nytimes.com/section/arts/rss.xml,Culture
https://www.theguardian.com/uk/culture/rss,Culture
https://www.theringer.com/rss/front-page/index.xml,Culture
https://www.vulture.com/feeds/flipboard.rss,Culture
https://slate.com/feeds/culture.rss,Culture
https://www.rollingstone.com/feed,Culture
https://variety.com/feed,Culture
https://boingboing.net/feed,Culture
https://www.theatlantic.com/feed/channel/culture/,Culture
https://jalopnik.com/rss,Cars
https://www.nytimes.com/svc/collections/v1/publish/https://www.nytimes.com/section/business/rss.xml,Business
https://www.theguardian.com/uk/business/rss,Business
http://finance.yahoo.com/rss/topstories,Business
http://feeds.marketwatch.com/marketwatch/realtimeheadlines,Business
https://www.calculatedriskblog.com/feeds/posts/default?alt=rss,Business
https://slate.com/feeds/business.rss,Business
https://www.theatlantic.com/feed/channel/business/,Business
